split,k,objective,sample_count,loss_mean,loss_median,valid_pixels_mean,valid_pixels_median,gradient_abs_mean_mean,gradient_abs_mean_median,gradient_rms_mean,gradient_rms_median,gradient_abs_max_mean,gradient_abs_max_median,gradient_l1_mass_mean,gradient_l1_mass_median,gradient_nonzero_fraction_mean,gradient_nonzero_fraction_median,crop_pixels_mean,crop_pixels_median,crop_pixel_share_mean,crop_pixel_share_median,crop_gradient_mass_share_mean,crop_gradient_mass_share_median,crop_gradient_enrichment_mean,crop_gradient_enrichment_median,structure_pixels_mean,structure_pixels_median,structure_pixel_share_mean,structure_pixel_share_median,structure_gradient_mass_share_mean,structure_gradient_mass_share_median,structure_gradient_enrichment_mean,structure_gradient_enrichment_median,gt_boundary_pixels_mean,gt_boundary_pixels_median,gt_boundary_pixel_share_mean,gt_boundary_pixel_share_median,gt_boundary_gradient_mass_share_mean,gt_boundary_gradient_mass_share_median,gt_boundary_gradient_enrichment_mean,gt_boundary_gradient_enrichment_median,cosine_global_local_mean,cosine_global_local_median,cosine_global_edge_mean,cosine_global_edge_median,cosine_local_edge_mean,cosine_local_edge_median
val,0,combined_paper,1,0.07722860982175916,0.07722860982175916,196608.0,196608.0,5.271404006634839e-06,5.271404006634839e-06,6.592698355234461e-06,6.592698355234461e-06,3.1907897209748626e-05,3.1907897209748626e-05,1.0364001989364624,1.0364001989364624,0.9999746084213257,0.9999746084213257,36864.0,36864.0,0.1875,0.1875,0.19306069612503052,0.19306069612503052,1.0296570460001628,1.0296570460001628,18432.0,18432.0,0.09375,0.09375,0.100202776491642,0.100202776491642,1.068829615910848,1.068829615910848,19056.0,19056.0,0.096923828125,0.096923828125,0.11293233931064606,0.11293233931064606,1.1651658987818798,1.1651658987818798,0.1272660344839096,0.1272660344839096,0.007075743284076452,0.007075743284076452,0.22963973879814148,0.22963973879814148
val,0,edge_legacy_max,1,0.0005856619682163,0.0005856619682163,196608.0,196608.0,1.9270773918833584e-06,1.9270773918833584e-06,2.8961487714695977e-06,2.8961487714695977e-06,1.0689969712984748e-05,1.0689969712984748e-05,0.3788788318634033,0.3788788318634033,0.999603271484375,0.999603271484375,36864.0,36864.0,0.1875,0.1875,0.19909928739070892,0.19909928739070892,1.061862866083781,1.061862866083781,18432.0,18432.0,0.09375,0.09375,0.1032489612698555,0.1032489612698555,1.1013222535451253,1.1013222535451253,19056.0,19056.0,0.096923828125,0.096923828125,0.0433998629450798,0.0433998629450798,0.447772893257045,0.447772893257045,0.1272660344839096,0.1272660344839096,0.007075743284076452,0.007075743284076452,0.22963973879814148,0.22963973879814148
val,0,edge_paper_min,1,0.0007808826630935073,0.0007808826630935073,196608.0,196608.0,2.5694366740935948e-06,2.5694366740935948e-06,3.861532150040148e-06,3.861532150040148e-06,1.4253294466470834e-05,1.4253294466470834e-05,0.5051717758178711,0.5051717758178711,0.999603271484375,0.999603271484375,36864.0,36864.0,0.1875,0.1875,0.19909930229187012,0.19909930229187012,1.0618629455566406,1.0618629455566406,18432.0,18432.0,0.09375,0.09375,0.1032489761710167,0.1032489761710167,1.1013224124908447,1.1013224124908447,19056.0,19056.0,0.096923828125,0.096923828125,0.0433998666703701,0.0433998666703701,0.44777293169228194,0.44777293169228194,0.1272660344839096,0.1272660344839096,0.007075743284076452,0.007075743284076452,0.22963973879814148,0.22963973879814148
val,0,global,1,0.057485759258270264,0.057485759258270264,196608.0,196608.0,1.6511371541128028e-06,1.6511371541128028e-06,1.8010402982326923e-06,1.8010402982326923e-06,7.224821274576243e-06,7.224821274576243e-06,0.32462677359580994,0.32462677359580994,1.0,1.0,36864.0,36864.0,0.1875,0.1875,0.19975855946540833,0.19975855946540833,1.065378983815511,1.065378983815511,18432.0,18432.0,0.09375,0.09375,0.10091718286275864,0.10091718286275864,1.076449950536092,1.076449950536092,19056.0,19056.0,0.096923828125,0.096923828125,0.10145407915115356,0.10145407915115356,1.0467403229297858,1.0467403229297858,0.1272660344839096,0.1272660344839096,0.007075743284076452,0.007075743284076452,0.22963973879814148,0.22963973879814148
val,0,local,1,0.018961967900395393,0.018961967900395393,196608.0,196608.0,3.27023008139804e-06,3.27023008139804e-06,4.02751629735576e-06,4.02751629735576e-06,2.1260564608382992e-05,2.1260564608382992e-05,0.6429533958435059,0.6429533958435059,0.9989776611328125,0.9989776611328125,36864.0,36864.0,0.1875,0.1875,0.18994325399398804,0.18994325399398804,1.0130306879679363,1.0130306879679363,18432.0,18432.0,0.09375,0.09375,0.09573952108621597,0.09573952108621597,1.0212215582529705,1.0212215582529705,19056.0,19056.0,0.096923828125,0.096923828125,0.1456655114889145,0.1456655114889145,1.502886486293687,1.502886486293687,0.1272660344839096,0.1272660344839096,0.007075743284076452,0.007075743284076452,0.22963973879814148,0.22963973879814148
val,3,combined_paper,1,0.07862268504686654,0.07862268504686654,196608.0,196608.0,5.919223440287169e-06,5.919223440287169e-06,7.282977094291709e-06,7.282977094291709e-06,2.9699305741814896e-05,2.9699305741814896e-05,1.163766622543335,1.163766622543335,0.9999847412109375,0.9999847412109375,36864.0,36864.0,0.1875,0.1875,0.18978910148143768,0.18978910148143768,1.0122085412343342,1.0122085412343342,18432.0,18432.0,0.09375,0.09375,0.09820888936519623,0.09820888936519623,1.047561486562093,1.047561486562093,19056.0,19056.0,0.096923828125,0.096923828125,0.10123273730278015,0.10123273730278015,1.0444566548921599,1.0444566548921599,0.16080982983112335,0.16080982983112335,0.008329946547746658,0.008329946547746658,0.2572905421257019,0.2572905421257019
val,3,edge_legacy_max,1,0.000748518796171993,0.000748518796171993,196608.0,196608.0,2.4997959826578153e-06,2.4997959826578153e-06,3.2989341889333446e-06,3.2989341889333446e-06,1.056685778166866e-05,1.056685778166866e-05,0.49147987365722656,0.49147987365722656,0.9997507929801941,0.9997507929801941,36864.0,36864.0,0.1875,0.1875,0.19666436314582825,0.19666436314582825,1.0488766034444172,1.0488766034444172,18432.0,18432.0,0.09375,0.09375,0.09850874543190002,0.09850874543190002,1.0507599512736003,1.0507599512736003,19056.0,19056.0,0.096923828125,0.096923828125,0.0493275411427021,0.0493275411427021,0.5089310038299945,0.5089310038299945,0.16080982983112335,0.16080982983112335,0.008329946547746658,0.008329946547746658,0.2572905421257019,0.2572905421257019
val,3,edge_paper_min,1,0.0009980250615626574,0.0009980250615626574,196608.0,196608.0,3.33306115862797e-06,3.33306115862797e-06,4.398579221742693e-06,4.398579221742693e-06,1.4089144315221347e-05,1.4089144315221347e-05,0.6553064584732056,0.6553064584732056,0.9997507929801941,0.9997507929801941,36864.0,36864.0,0.1875,0.1875,0.19666437804698944,0.19666437804698944,1.048876682917277,1.048876682917277,18432.0,18432.0,0.09375,0.09375,0.09850876033306122,0.09850876033306122,1.0507601102193196,1.0507601102193196,19056.0,19056.0,0.096923828125,0.096923828125,0.0493275485932827,0.0493275485932827,0.5089310807004683,0.5089310807004683,0.16080982983112335,0.16080982983112335,0.008329946547746658,0.008329946547746658,0.2572905421257019,0.2572905421257019
val,3,global,1,0.055045463144779205,0.055045463144779205,196608.0,196608.0,1.652527657824976e-06,1.652527657824976e-06,1.801900452846894e-06,1.801900452846894e-06,7.159362667152891e-06,7.159362667152891e-06,0.32490015029907227,0.32490015029907227,1.0,1.0,36864.0,36864.0,0.1875,0.1875,0.19791342318058014,0.19791342318058014,1.055538256963094,1.055538256963094,18432.0,18432.0,0.09375,0.09375,0.1010654866695404,0.1010654866695404,1.078031857808431,1.078031857808431,19056.0,19056.0,0.096923828125,0.096923828125,0.09928815066814423,0.09928815066814423,1.0243936149539514,1.0243936149539514,0.16080982983112335,0.16080982983112335,0.008329946547746658,0.008329946547746658,0.2572905421257019,0.2572905421257019
val,3,local,1,0.022579196840524673,0.022579196840524673,196608.0,196608.0,3.542675585777033e-06,3.542675585777033e-06,4.264996277925093e-06,4.264996277925093e-06,2.1478088456206024e-05,2.1478088456206024e-05,0.6965183615684509,0.6965183615684509,0.9990590810775757,0.9990590810775757,36864.0,36864.0,0.1875,0.1875,0.17940513789653778,0.17940513789653778,0.9568274021148682,0.9568274021148682,18432.0,18432.0,0.09375,0.09375,0.09328840672969818,0.09328840672969818,0.9950763384501139,0.9950763384501139,19056.0,19056.0,0.096923828125,0.096923828125,0.12665654718875885,0.12665654718875885,1.306763771499134,1.306763771499134,0.16080982983112335,0.16080982983112335,0.008329946547746658,0.008329946547746658,0.2572905421257019,0.2572905421257019
