sample_directory,sample_id,snapshot,step,training_stage,k,scope,point_rel,depth_rel,depth_delta_1.01,depth_delta_1.25,boundary_f1
06_ai_002_003_cam_00_frame.0000,ai_002_003_cam_00_frame.0000,initial,0,initial,5,crop,0.0830521509051323,0.08067122846841812,0.2174750417470932,0.881944477558136,0.8854671716690063
06_ai_002_003_cam_00_frame.0000,ai_002_003_cam_00_frame.0000,initial,0,initial,5,structure,0.08064333349466324,0.07915402948856354,0.0928819477558136,0.9293619990348816,0.6624513268470764
06_ai_002_003_cam_00_frame.0000,ai_002_003_cam_00_frame.0000,stage1,5000,detached,0,full,0.01262441836297512,0.011566577479243279,0.8877156972885132,0.9837138056755066,0.9546480774879456
06_ai_002_003_cam_00_frame.0000,ai_002_003_cam_00_frame.0000,stage1,5000,detached,0,crop,0.032891541719436646,0.03208056464791298,0.7080349326133728,0.9396430253982544,0.9458232522010803
06_ai_002_003_cam_00_frame.0000,ai_002_003_cam_00_frame.0000,stage1,5000,detached,0,structure,0.012993067502975464,0.012586645781993866,0.7269965410232544,0.9933268427848816,0.7940464615821838
06_ai_002_003_cam_00_frame.0000,ai_002_003_cam_00_frame.0000,stage1,5000,detached,1,full,0.007808761205524206,0.0069172619841992855,0.9397074580192566,0.9900004267692566,0.9873166084289551
06_ai_002_003_cam_00_frame.0000,ai_002_003_cam_00_frame.0000,stage1,5000,detached,1,crop,0.02090023085474968,0.02008209004998207,0.83203125,0.9593098759651184,0.9896755814552307
06_ai_002_003_cam_00_frame.0000,ai_002_003_cam_00_frame.0000,stage1,5000,detached,1,structure,0.008079237304627895,0.007549976464360952,0.8902994990348816,0.9955512285232544,0.8769628405570984
06_ai_002_003_cam_00_frame.0000,ai_002_003_cam_00_frame.0000,stage1,5000,detached,3,full,0.004677647724747658,0.0038132239133119583,0.9698486328125,0.9967600703239441,0.989801287651062
06_ai_002_003_cam_00_frame.0000,ai_002_003_cam_00_frame.0000,stage1,5000,detached,3,crop,0.011227362789213657,0.010272864252328873,0.9120008945465088,0.987657368183136,0.9903829097747803
06_ai_002_003_cam_00_frame.0000,ai_002_003_cam_00_frame.0000,stage1,5000,detached,3,structure,0.005151708610355854,0.004426834639161825,0.9839409589767456,0.9955512285232544,0.9611601829528809
06_ai_002_003_cam_00_frame.0000,ai_002_003_cam_00_frame.0000,stage1,5000,detached,5,full,0.004481370095163584,0.0036155215930193663,0.9791158437728882,0.9966787099838257,0.9888287782669067
06_ai_002_003_cam_00_frame.0000,ai_002_003_cam_00_frame.0000,stage1,5000,detached,5,crop,0.009756063111126423,0.00866979081183672,0.9412434697151184,0.988037109375,0.9875763058662415
06_ai_002_003_cam_00_frame.0000,ai_002_003_cam_00_frame.0000,stage1,5000,detached,5,structure,0.0053822994232177734,0.004646125715225935,0.9871419072151184,0.9953342080116272,0.9689077734947205
06_ai_002_003_cam_00_frame.0000,ai_002_003_cam_00_frame.0000,final,5800,joint_best,0,full,0.011584393680095673,0.010976756922900677,0.8949992060661316,0.9838155508041382,0.9531995058059692
06_ai_002_003_cam_00_frame.0000,ai_002_003_cam_00_frame.0000,final,5800,joint_best,0,crop,0.03243608772754669,0.03169207647442818,0.7167426347732544,0.93994140625,0.9496148228645325
06_ai_002_003_cam_00_frame.0000,ai_002_003_cam_00_frame.0000,final,5800,joint_best,0,structure,0.013509861193597317,0.013143442571163177,0.7298719882965088,0.9934895634651184,0.7774766683578491
06_ai_002_003_cam_00_frame.0000,ai_002_003_cam_00_frame.0000,final,5800,joint_best,1,full,0.007640529423952103,0.007093142252415419,0.9350637197494507,0.9918670654296875,0.9863178730010986
06_ai_002_003_cam_00_frame.0000,ai_002_003_cam_00_frame.0000,final,5800,joint_best,1,crop,0.019776947796344757,0.019201813265681267,0.8209364414215088,0.9668239951133728,0.990452766418457
06_ai_002_003_cam_00_frame.0000,ai_002_003_cam_00_frame.0000,final,5800,joint_best,1,structure,0.008376790210604668,0.008032925426959991,0.865234375,0.9959309697151184,0.8598929047584534
06_ai_002_003_cam_00_frame.0000,ai_002_003_cam_00_frame.0000,final,5800,joint_best,3,full,0.004916992504149675,0.004391631577163935,0.9655405879020691,0.9980010986328125,0.9884217977523804
06_ai_002_003_cam_00_frame.0000,ai_002_003_cam_00_frame.0000,final,5800,joint_best,3,crop,0.009333993308246136,0.008886590600013733,0.9064399003982544,0.9930555820465088,0.9886823296546936
06_ai_002_003_cam_00_frame.0000,ai_002_003_cam_00_frame.0000,final,5800,joint_best,3,structure,0.005525652784854174,0.005197967868298292,0.9759114384651184,0.9958767294883728,0.9484009742736816
06_ai_002_003_cam_00_frame.0000,ai_002_003_cam_00_frame.0000,final,5800,joint_best,5,full,0.00529828667640686,0.0047283777967095375,0.9562785029411316,0.9978129267692566,0.9866893887519836
06_ai_002_003_cam_00_frame.0000,ai_002_003_cam_00_frame.0000,final,5800,joint_best,5,crop,0.008680607192218304,0.008223154582083225,0.9228515625,0.9928928017616272,0.9850649237632751
06_ai_002_003_cam_00_frame.0000,ai_002_003_cam_00_frame.0000,final,5800,joint_best,5,structure,0.005706607364118099,0.005390493664890528,0.9787326455116272,0.9956597089767456,0.9550740122795105
07_ai_019_004_cam_00_frame.0099,ai_019_004_cam_00_frame.0099,initial,0,initial,0,full,0.08768990635871887,0.080174021422863,0.2464040219783783,0.9224955439567566,0.8510226011276245
07_ai_019_004_cam_00_frame.0099,ai_019_004_cam_00_frame.0099,initial,0,initial,0,crop,0.1844811588525772,0.17061595618724823,0.1024848073720932,0.8413357138633728,0.9260382056236267
07_ai_019_004_cam_00_frame.0099,ai_019_004_cam_00_frame.0099,initial,0,initial,0,structure,0.21668797731399536,0.20031823217868805,0.1139865443110466,0.8271484375,0.8040807843208313
